Player,Team,Mat,Inns,NO,Runs,Ave,BF,SR,100,50,0,4s,6s
Rahmanullah Gurbaz ,AFG,7,7,0,281,40.14,223,126,0,3,1,18,16
TM Head ,AUS,7,7,1,255,42.5,161,158.38,0,2,1,26,15
Ibrahim Zadran ,AFG,7,7,0,229,32.71,210,109.04,0,2,1,25,4
N Pooran ,WI,7,7,1,228,38,156,146.15,0,1,0,15,17
AGS Gous ,USA,6,6,1,219,43.8,145,151.03,0,2,0,20,11
Q de Kock ,SA,7,7,0,199,28.42,134,148.5,0,2,1,16,12
RG Sharma ,IND,6,6,1,191,38.2,120,159.16,0,2,0,16,13
JC Buttler ,ENG,7,6,2,191,47.75,120,159.16,0,1,1,18,10
PD Salt ,ENG,7,6,2,183,45.75,110,166.36,0,1,0,16,10
DA Warner ,AUS,7,7,1,178,29.66,128,139.06,0,2,0,17,9
MP Stoinis ,AUS,7,5,1,169,42.25,103,164.07,0,2,0,14,10
RR Pant ,IND,6,6,1,167,33.4,126,132.53,0,0,0,19,6
Aaron Jones ,USA,6,6,2,162,40.5,120,135,0,1,1,8,14
Towhid Hridoy ,BAN,7,7,0,153,21.85,119,128.57,0,0,0,9,8
SA Yadav ,IND,6,6,1,149,29.8,107,139.25,0,2,0,11,8
DA Miller ,SA,7,7,2,148,29.6,148,100,0,1,1,9,7
B McMullen ,SCOT,4,3,1,140,70,82,170.73,0,2,0,13,8
J Charles ,WI,6,6,0,140,23.33,123,113.82,0,0,2,18,3
Litton Das ,BAN,7,7,1,139,23.16,149,93.28,0,1,0,12,3
H Klaasen ,SA,7,7,2,138,27.6,123,112.19,0,0,0,7,8
T Stubbs ,SA,7,7,3,134,33.5,142,94.36,0,0,1,10,2
GJ Maxwell ,AUS,7,6,1,132,26.4,93,141.93,0,1,1,12,7
MR Marsh ,AUS,7,7,1,125,20.83,107,116.82,0,0,0,13,5
HG Munsey ,SCOT,4,4,1,124,41.33,89,139.32,0,0,0,8,9
Babar Azam ,PAK,4,4,1,122,40.66,120,101.66,0,0,0,8,3
SE Rutherford ,WI,7,6,3,121,40.33,82,147.56,0,1,1,5,9
HC Brook ,ENG,7,3,2,120,120,73,164.38,0,1,0,13,2
HH Pandya ,IND,6,4,2,116,58,80,145,0,1,0,9,7
Najmul Hossain Shanto ,BAN,7,7,0,112,16,117,95.72,0,0,0,7,5
Shakib Al Hasan ,BAN,7,7,1,111,18.5,104,106.73,0,1,1,12,1
Mohammad Rizwan ,PAK,4,4,1,110,36.66,121,90.9,0,1,0,5,3
JM Bairstow ,ENG,7,5,2,110,36.66,79,139.24,0,0,0,11,4
SD Hope ,WI,3,3,1,107,53.5,57,187.71,0,1,1,4,10
S Dube ,IND,6,6,2,106,26.5,99,107.07,0,0,0,3,6
RD Berrington ,SCOT,4,3,2,102,102,73,139.72,0,0,0,4,5
MG Erasmus ,NAM,4,4,1,102,34,93,109.67,0,1,0,10,3
R Powell ,WI,7,6,0,102,17,71,143.66,0,0,0,4,8
NR Kirton ,CAN,3,3,0,101,33.66,72,140.27,0,1,0,6,4
